Designator,Footprint,Quantity,Value,LCSC Part #
C1,1210,1,100u,    C23742
"C10, C11",0402,2,15p,C1548
"C206, C207, C209, C211, C212, C213, C214, C215, C216, C40, C90, C92, C93",0402,13,100n,C307331
"C208, C210",0402,2,1u,C52923
"C94, C95",0402,2,22p,C1555
D1,0603,1,LED,C2286
"J2, J3",wago-2060-452_998-404,2,wago 2060-452/998-404,C2765055
J6,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0_16P,C2765186
Q1,SI7232DN-T1-GE3,1,SI7232DN-T1-GE3,C144854
"R12, R2, R30",0402,3,1k,C11702
"R20, R300",0402,2,100,C25076
"R203, R204",0402,2,27,C25100
"R21, R31",0402,2,3.3k,C25890
"R22, R32",0402,2,100k,C25741
"R23, R33",0402,2,27k,C25551
"R3, R4",0402,2,5.1k,C25905
R91,0402,1,10k,C25744
S2,TS-1187A-B-A-B,1,TS-1187A-B-A-B,C318884
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U4,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVP,C190862
U9,QFN28_6X6MC_MCH,1,MCP25625T-E/ML,C191253
X1,ABM8-272-T3_ABR,1,RP2040 Crystal,C20625731
Y2,X322516MLB4SI,1,X322516MLB4SI,C12668
