Designator,Mid X,Mid Y,Rotation,Layer
C10,149.5,-90.5,0.0,top
C11,147.401053,-90.619624,180.0,top
C206,148.5,-104.75,270.0,top
C207,145.75,-92.25,90.0,top
C208,144.25,-103.75,270.0,top
C209,147.5,-104.5,270.0,top
C210,143.25,-103.75,270.0,top
C211,152.25,-101.0,0.0,top
C212,141.525268,-96.188915,135.0,top
C213,152.523705,-97.122962,0.0,top
C214,146.905904,-92.252137,90.0,top
C215,141.194841,-103.749524,270.0,top
C216,142.194841,-103.749524,270.0,top
C40,150.75,-108.75,180.0,top
C90,140.339105,-82.759702,0.0,top
C92,144.249829,-87.861863,90.0,top
C93,133.942338,-87.740095,90.0,top
C94,133.0,-90.0,270.0,top
C95,131.5,-88.5,90.0,top
D1,154.5,-118.9,90.0,top
J2,125.5,-114.5,0.0,top
J3,170.1,-113.4,0.0,top
J6,146.41,-117.625,0.0,top
Q1,164.335,-96.09,0.0,top
R1,154.5,-115.7,270.0,top
R12,148.0,-92.25,90.0,top
R20,160.8,-97.6,0.0,top
R203,146.400183,-103.75,90.0,top
R204,145.400183,-103.75,90.0,top
R21,160.8,-98.7,180.0,top
R22,165.8,-99.19,90.0,top
R23,165.8,-101.3,90.0,top
R3,149.505,-112.755,0.0,top
R30,159.1,-111.9,270.0,top
R300,160.7,-95.5,0.0,top
R31,160.7,-94.4,180.0,top
R32,165.8,-93.11,270.0,top
R33,165.8,-91.11,270.0,top
R4,143.005,-112.765,0.0,top
R91,144.0,-89.854549,180.0,top
S2,136.0,-117.5,180.0,top
U2,147.1,-98.3125,270.0,top
U4,155.0,-106.75,180.0,top
U9,138.887999,-87.644025,180.0,top
X1,149.0,-88.0,270.0,top
Y2,128.85,-89.051477,180.0,top
